rg,rn,ta,vpd,swc,ts,rh,pm2_5,pm2_5_raw,pm2_5_pred
311.3902,204.0467,4.7953,724.9115,0.1698418,2.3,14.59086,1.90888,,
257.15160000000003,151.54033,5.0425,736.9412,0.1697716,2.3093,13.77173,2.14949,,
196.8385,95.14171,5.1976,742.9217,0.1697601,2.3193,13.06587,2.46257,,
139.23255,41.402370000000005,5.0334,727.1418,0.1697883,2.3293,13.14923,2.77557,,
86.086912,-6.88696,4.5666,699.8513,0.169761,2.3393,13.63456,3.0470875,,
44.783184,-43.94281,3.8275,658.2542,0.1697454,2.3553,14.47174,3.2419,,
18.511171,-65.26261,3.0912,617.5623,0.1698271,2.366,15.33897,3.24495,,
4.694419,-74.65249,2.2172,570.8633,0.1698094,2.376,16.46002,34.765750000000004,,
1.308034,-75.64358,1.6458,545.5009,0.1698749,2.392,17.01214,37.92203,,
1.14297,-75.48094999999999,1.3667,534.6623,0.1699407,2.4213,17.12668,37.874965,,
1.143581,-76.22704999999999,1.336,536.0722,0.1699882,2.4453,16.97503,37.803995,,
1.143335,-76.48952,1.2206,532.3639000000001,0.1700062,2.4653,17.017970000000002,36.00490454545455,,
1.142419,-77.07524000000001,1.2129,534.5056,0.1701119999999999,2.4853,16.92889,21.7786,,
1.141591,-77.31706,1.1642,534.0031,0.1701138,2.4993,16.70996,24.8057,,
1.141618,-76.21144,0.6162000000000001,507.3647,0.1700833,2.5093,17.62369,24.8057,,
1.141579,-75.06127000000001,0.0687,480.2082,0.1700637,2.5193,18.40061,24.8057,,
1.141211,-73.98808,-0.4765999999999999,454.9391,0.1700545,2.5293,19.13835,27.8328,,
1.1430572727272728,-70.47557272727272,-0.7208181818181818,432.2609090909091,0.1700480909090909,2.526,21.2413,34.225790909090904,,
1.15267,-50.52695,-0.9395,306.3465,0.170062,2.3965,43.1281,33.7702,,
1.1511366666666667,-53.17953333333333,-1.2436666666666667,293.74,0.1700793333333333,2.3976666666666664,44.12406666666666,32.973395,,
1.1529925,-51.88025,-1.37,289.58375,0.170111,2.39825,44.3708,31.245035,,
1.153308,-51.32122,-1.4616,288.8054,0.1700852,2.3986,44.21294,28.96401,,
1.152214,-53.155,-1.6946,282.1414,0.170065,2.4,44.37572,27.06079,,
1.152742,-54.0169,-1.6344,285.5406,0.1700392,2.4,43.83088,25.16111,,
1.155424,-54.59658,-1.499,292.3768,0.1700532,2.4,42.97632,22.644675,,
1.152778,-56.97314,-1.6980000000000002,288.3928,0.1700172,2.4,42.9894,20.438415,,
1.15385,-59.7167,-1.7148,289.7932,0.1700084,2.388,42.48006,19.16535,,
1.156102,-61.8839,-1.613,297.2402,0.1699792,2.3746,41.35276,17.89501,,
1.158056,-62.13984,-1.4616,312.299,0.1699714,2.3546,39.32508,16.240705,,
1.157622,-64.31864,-0.4958,367.3866,0.1699126,2.3346,35.13494,14.82273,,
1.159088,-66.81832,0.8522,436.7742,0.1698656,2.3146,29.99124,14.028735,,
1.159692,-66.85672,0.9666,444.7826,0.1699612,2.3066,28.9467,13.2357,,
1.161044,-67.30454,0.8768,443.0458,0.1700122,2.3,28.95554,12.14708,,
2.137286,-66.42474,0.4413999999999999,424.021,0.1701128,2.3,30.7034,11.149565,,
7.162384,-59.1065,-0.7754000000000001,368.4794,0.1700836,2.3,34.25338,10.54132,,
17.808652,-46.566324,-1.4564,332.491,0.1701832,2.3,35.964,9.934695,,
40.750462,-20.902944,-1.1386,349.3962,0.1700289999999999,2.3,34.8996,9.169645,,
77.266646,18.419596,-0.8284,363.8138,0.1699476,2.3,34.61954,8.542715,,
124.99856,67.159676,0.1853999999999999,412.561,0.1697895999999999,2.3,31.89716,8.215105,,
179.47299999999998,121.011856,1.5872,488.4688,0.1697827999999999,2.3,27.97094,14.15028181818182,,
237.677,178.1438,2.7302,561.5918,0.1696478,2.3,25.39544,78.48169999999999,,
288.1368,225.4016,3.9414,634.6452,0.1696682,2.3,22.36122,80.1968,,
330.3602,262.5692,5.183199999999999,713.447,0.1696136,2.3,18.4447,81.05066249999999,,
361.6058,287.1852,6.0516,771.5928,0.16963,2.3,15.98626,81.56003,,
378.331,295.8978,6.5576,802.9054,0.1696954,2.3,15.15986,82.69287,,
380.959,290.1622,6.7978,817.9098,0.1697824,2.3,14.92558,82.90633,,
363.4694,267.1856,7.0704,837.848,0.1697932,2.3,14.47838,82.42452999999999,,
333.4682,236.6182,7.3236,853.54,0.1698298,2.3,14.04304,81.93646,,
290.4532,198.9382,7.5792,869.9374,0.1699002,2.3,13.48312,80.72274999999999,,
236.5472,150.73418,7.7328,879.5602,0.1698306,2.3186,12.94806,79.01379,,
176.92742,97.7494,7.7634,878.6702,0.1697764,2.3386,12.64914,77.5393,,
124.28078,48.14422,7.607,860.599,0.169756,2.3586,12.75958,76.07516,,
75.748164,0.5067799999999991,7.3804,839.4626000000001,0.1697996,2.3786,12.92922,74.70941,,
38.824512,-37.20546,6.8154,798.014,0.169779,2.4106,13.5628,74.16142,,
16.52147,-58.64828,6.3484,762.1372,0.1698054,2.432,14.12938,74.33493,,
4.682366,-68.81202,5.696,718.346,0.169865,2.452,14.89702,74.50022,,
1.430958,-71.23458,5.3644,699.5084,0.1699784,2.472,14.94412,74.10402,,
1.239188,-71.70492,5.1454,688.9794,0.1699892,2.5106,14.75408,73.05829,,
1.238746,-74.137,5.263599999999999,698.333,0.170061,2.5386,14.08304,71.90738,,
1.239026,-75.71194,5.1778,697.1382,0.1701666,2.5586,13.63676,70.74755,,
1.234712,-77.96304,5.3096,707.8658,0.1701828,2.5786,12.92626,68.32984,,
1.23422,-79.11376,5.2556,708.0894,0.1701478,2.5986,12.4794,65.20752,,
1.236356,-77.99574,4.3180000000000005,659.9074,0.1700804,2.6186000000000003,14.09802,62.62936,,
1.23726,-76.42568,3.3000000000000003,608.3528,0.1699958,2.6386000000000003,15.58402,60.05101,,
1.23612,-75.00984,2.3536,561.6934,0.1699296,2.6586000000000003,16.97968,56.20881,,
1.2239433333333334,-68.84171666666667,1.4478333333333333,501.671,0.1699666666666666,2.631,21.286933333333334,52.35171999999999,,
1.15267,-50.52695,-0.9395,306.3465,0.170062,2.3965,43.1281,49.74353,,
1.15553,-43.6547,-0.228,333.816,0.170054,2.393,40.9715,27.30339419087137,,
1.14981,-57.3992,-1.651,278.877,0.17007,2.4,45.2847,25.77621688034188,,
1.14807,-58.4847,-1.852,268.527,0.170114,2.4,46.116,24.641785863874347,,
1.15856,-47.9824,-1.749,277.115,0.170206,2.4,45.111,24.822807552083333,,
1.15457,-49.0851,-1.828,285.692,0.169982,2.4,43.5815,25.098308072916662,,
1.15006,-52.8236,-1.393,300.496,0.169953,2.4,41.7854,25.75141348039216,,
1.15245,-61.7087,-1.35,295.873,0.169941,2.4,42.5605,25.654548863636364,,
1.16148,-61.3831,-1.175,302.708,0.170184,2.4,41.8432,22.280054491017964,,
1.14533,-59.8652,-2.744,257.195,0.170026,2.4,45.1764,17.95474251968504,,
1.15993,-62.8029,-1.912,292.694,0.169938,2.34,41.0348,25.446854010695187,,
1.16132,-63.6596,-0.884,337.731,0.169807,2.333,36.1489,26.279961135371178,,
1.16222,-62.9884,-0.593,371.167,0.169902,2.3,32.4221,44.67387942583732,,
1.15931,-72.2771,3.654,578.146,0.16989,2.3,20.8925,60.27483377192983,,
1.15266,-72.3636,3.996,604.133,0.169791,2.3,19.4579,33.12859322429907,,
1.16295,-62.9949,-1.34,332.736,0.170416,2.3,35.8121,26.27723938679245,,
1.16808,-65.8987,-1.333,329.047,0.170062,2.3,36.1931,22.84568611111111,,
